speaker object count
 meredith meredith 10 
 meredith angela 1 
 meredith oscar 3 
 meredith phyllis 0 
 meredith kelly 1 
 meredith toby 3 
 meredith creed 1 
 meredith darryl 3 
 meredith holly 0 
 meredith gabe 0 
 meredith nellie 1 
 meredith clark 0 
 meredith pete 1 
 meredith todd 1 
 meredith david 0 
 meredith karen 0 
 meredith charles 0 
 meredith jo 0 
 meredith senator 1 
 meredith deangelo 0 
 meredith val 0 
 meredith cathy 1 
 meredith danny 1

 angela andy 25 
 angela erin 2 
 angela jim 13 
 angela pam 31 
 angela michael 29 
 angela dwight 81 
 angela ryan 1 
 angela robert 5 
 angela jan 7 
 angela roy 5 
 angela stanley 2 
 angela kevin 42 
 angela meredith 14 
 angela angela 10 
 angela oscar 28 
 angela phyllis 18 
 angela kelly 8 
 angela toby 6 
 angela creed 2 
 angela darryl 0 
 angela holly 2 
 angela gabe 1 
 angela nellie 2 
 angela clark 1 
 angela pete 0 
 angela todd 1 
 angela david 1 
 angela karen 0 
 angela charles 8 
 angela jo 0 
 angela senator 45 
 angela deangelo 3 
 angela val 0 
 angela cathy 0 
 angela danny 0

 oscar andy 32 
 oscar erin 8 
 oscar jim 18 
 oscar pam 25 
 oscar michael 72 
 oscar dwight 26 
 oscar ryan 5 
 oscar robert 6 
 oscar jan 6 
 oscar roy 4 
 oscar stanley 7 
 oscar kevin 37 
 oscar meredith 6 
 oscar angela 46 
 oscar oscar 6 
 oscar phyllis 5 
 oscar kelly 7 
 oscar toby 9 
 oscar creed 4 
 oscar darryl 3 
 oscar holly 2 
 oscar gabe 3 
 oscar nellie 3 
 oscar clark 0 
 oscar pete 1 
 oscar todd 1 
 oscar david 5 
 oscar karen 0 
 oscar charles 0 
 oscar jo 0 
 oscar senator 22 
 oscar deangelo 3 
 oscar val 0 
 oscar cathy 0 
 oscar danny 0

 phyllis andy 30 
 phyllis erin 6 
 phyllis jim 17 
 phyllis pam 12 
 phyllis michael 63 
 phyllis dwight 36 
 phyllis ryan 3 
 phyllis robert 1 
 phyllis jan 1 
 phyllis roy 0 
 phyllis stanley 13 
 phyllis kevin 3 
 phyllis meredith 2 
 phyllis angela 14 
 phyllis oscar 2 
 phyllis phyllis 1 
 phyllis kelly 1 
 phyllis toby 3 
 phyllis creed 0 
 phyllis darryl 1 
 phyllis holly 0 
 phyllis gabe 1 
 phyllis nellie 1 
 phyllis clark 1 
 phyllis pete 1 
 phyllis todd 3 
 phyllis david 2 
 phyllis karen 1 
 phyllis charles 0 
 phyllis jo 0 
 phyllis senator 0 
 phyllis deangelo 0 
 phyllis val 0 
 phyllis cathy 0 
 phyllis danny 0

 kelly andy 14 
 kelly erin 2 
 kelly jim 26 
 kelly pam 15 
 kelly michael 27 
 kelly dwight 15 
 kelly ryan 48 
 kelly robert 1 
 kelly jan 1 
 kelly roy 2 
 kelly stanley 1 
 kelly kevin 5 
 kelly meredith 6 
 kelly angela 2 
 kelly oscar 4 
 kelly phyllis 0 
 kelly kelly 14 
 kelly toby 9 
 kelly creed 2 
 kelly darryl 10 
 kelly holly 0 
 kelly gabe 1 
 kelly nellie 0 
 kelly clark 0 
 kelly pete 0 
 kelly todd 0 
 kelly david 1 
 kelly karen 0 
 kelly charles 2 
 kelly jo 0 
 kelly senator 0 
 kelly deangelo 3 
 kelly val 0 
 kelly cathy 2 
 kelly danny 0

 toby andy 14 
 toby erin 6 
 toby jim 8 
 toby pam 14 
 toby michael 50 
 toby dwight 14 
 toby ryan 6 
 toby robert 3 
 toby jan 6 
 toby roy 2 
 toby stanley 4 
 toby kevin 8 
 toby meredith 2 
 toby angela 3 
 toby oscar 8 
 toby phyllis 0 
 toby kelly 5 
 toby toby 8 
 toby creed 1 
 toby darryl 7 
 toby holly 2 
 toby gabe 2 
 toby nellie 3 
 toby clark 1 
 toby pete 4 
 toby todd 0 
 toby david 1 
 toby karen 1 
 toby charles 0 
 toby jo 0 
 toby senator 0 
 toby deangelo 0 
 toby val 0 
 toby cathy 1 
 toby danny 0

 creed andy 3 
 creed erin 1 
 creed jim 7 
 creed pam 13 
 creed michael 11 
 creed dwight 2 
 creed ryan 1 
 creed robert 0 
 creed jan 1 
 creed roy 0 
 creed stanley 2 
 creed kevin 1 
 creed meredith 3 
 creed angela 3 
 creed oscar 0 
 creed phyllis 4 
 creed kelly 0 
 creed toby 0 
 creed creed 14 
 creed darryl 0 
 creed holly 1 
 creed gabe 1 
 creed nellie 1 
 creed clark 0 
 creed pete 0 
 creed todd 1 
 creed david 0 
 creed karen 0 
 creed charles 1 
 creed jo 0 
 creed senator 0 
 creed deangelo 0 
 creed val 0 
 creed cathy 0 
 creed danny 2

 darryl andy 32 
 darryl erin 4 
 darryl jim 23 
 darryl pam 4 
 darryl michael 58 
 darryl dwight 11 
 darryl ryan 7 
 darryl robert 1 
 darryl jan 2 
 darryl roy 7 
 darryl stanley 2 
 darryl kevin 13 
 darryl meredith 1 
 darryl angela 1 
 darryl oscar 3 
 darryl phyllis 2 
 darryl kelly 4 
 darryl toby 5 
 darryl creed 9 
 darryl darryl 13 
 darryl holly 0 
 darryl gabe 6 
 darryl nellie 0 
 darryl clark 0 
 darryl pete 0 
 darryl todd 1 
 darryl david 0 
 darryl karen 0 
 darryl charles 0 
 darryl jo 1 
 darryl senator 0 
 darryl deangelo 0 
 darryl val 3 
 darryl cathy 0 
 darryl danny 0

 holly andy 1 
 holly erin 0 
 holly jim 0 
 holly pam 0 
 holly michael 39 
 holly dwight 3 
 holly ryan 0 
 holly robert 2 
 holly jan 0 
 holly roy 0 
 holly stanley 0 
 holly kevin 5 
 holly meredith 6 
 holly angela 1 
 holly oscar 1 
 holly phyllis 0 
 holly kelly 0 
 holly toby 1 
 holly creed 0 
 holly darryl 1 
 holly holly 16 
 holly gabe 0 
 holly nellie 0 
 holly clark 0 
 holly pete 0 
 holly todd 4 
 holly david 1 
 holly karen 0 
 holly charles 0 
 holly jo 0 
 holly senator 0 
 holly deangelo 0 
 holly val 0 
 holly cathy 0 
 holly danny 0

 gabe andy 9 
 gabe erin 20 
 gabe jim 7 
 gabe pam 6 
 gabe michael 14 
 gabe dwight 4 
 gabe ryan 0 
 gabe robert 2 
 gabe jan 0 
 gabe roy 0 
 gabe stanley 1 
 gabe kevin 0 
 gabe meredith 2 
 gabe angela 1 
 gabe oscar 1 
 gabe phyllis 0 
 gabe kelly 2 
 gabe toby 4 
 gabe creed 1 
 gabe darryl 7 
 gabe holly 0 
 gabe gabe 20 
 gabe nellie 0 
 gabe clark 0 
 gabe pete 1 
 gabe todd 1 
 gabe david 0 
 gabe karen 0 
 gabe charles 0 
 gabe jo 0 
 gabe senator 0 
 gabe deangelo 0 
 gabe val 3 
 gabe cathy 0 
 gabe danny 0

 nellie andy 18 
 nellie erin 4 
 nellie jim 14 
 nellie pam 18 
 nellie michael 0 
 nellie dwight 39 
 nellie ryan 2 
 nellie robert 8 
 nellie jan 0 
 nellie roy 0 
 nellie stanley 2 
 nellie kevin 5 
 nellie meredith 1 
 nellie angela 6 
 nellie oscar 0 
 nellie phyllis 7 
 nellie kelly 0 
 nellie toby 5 
 nellie creed 3 
 nellie darryl 7 
 nellie holly 0 
 nellie gabe 0 
 nellie nellie 3 
 nellie clark 1 
 nellie pete 0 
 nellie todd 7 
 nellie david 1 
 nellie karen 0 
 nellie charles 0 
 nellie jo 0 
 nellie senator 0 
 nellie deangelo 0 
 nellie val 0 
 nellie cathy 0 
 nellie danny 0

 
 clark andy 0 
 clark erin 2 
 clark jim 4 
 clark pam 3 
 clark michael 0 
 clark dwight 7 
 clark ryan 0 
 clark robert 0 
 clark jan 4 
 clark roy 0 
 clark stanley 0 
 clark kevin 0 
 clark meredith 1 
 clark angela 0 
 clark oscar 0 
 clark phyllis 0 
 clark kelly 0 
 clark toby 0 
 clark creed 1 
 clark darryl 1 
 clark holly 0 
 clark gabe 0 
 clark nellie 0 
 clark clark 3 
 clark pete 2 
 clark todd 3 
 clark david 0 
 clark karen 0 
 clark charles 0 
 clark jo 0 
 clark senator 0 
 clark deangelo 0 
 clark val 0 
 clark cathy 1 
 clark danny 0

 pete andy 12 
 pete erin 10 
 pete jim 2 
 pete pam 6 
 pete michael 0 
 pete dwight 0 
 pete ryan 0 
 pete robert 0 
 pete jan 0 
 pete roy 0 
 pete stanley 0 
 pete kevin 1 
 pete meredith 2 
 pete angela 2 
 pete oscar 0 
 pete phyllis 0 
 pete kelly 0 
 pete toby 3 
 pete creed 1 
 pete darryl 1 
 pete holly 0 
 pete gabe 1 
 pete nellie 0 
 pete clark 3 
 pete pete 3 
 pete todd 0 
 pete david 0 
 pete karen 0 
 pete charles 0 
 pete jo 0 
 pete senator 0 
 pete deangelo 0 
 pete val 0 
 pete cathy 0 
 pete danny 0

 todd andy 0 
 todd erin 0 
 todd jim 0 
 todd pam 0 
 todd michael 3 
 todd dwight 0 
 todd ryan 0 
 todd robert 0 
 todd jan 0 
 todd roy 0 
 todd stanley 0 
 todd kevin 1 
 todd meredith 0 
 todd angela 0 
 todd oscar 0 
 todd phyllis 0 
 todd kelly 0 
 todd toby 0 
 todd creed 0 
 todd darryl 1 
 todd holly 2 
 todd gabe 0 
 todd nellie 0 
 todd clark 0 
